City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Bengkulu,ID,-3.8004,102.2655,74.28,92,34,3.91,scattered clouds
329,Nouadhibou,MR,20.931,-17.0347,69.78,88,6,20.71,sand
330,Northam,GB,51.0333,-4.2167,60.39,94,14,4.88,few clouds
331,Nemuro,JP,43.3236,145.575,65.1,99,100,15.86,overcast clouds
332,Mount Gambier,AU,-37.8333,140.7667,39.11,100,10,8.05,clear sky
333,Christchurch,NZ,-43.5333,172.6333,53.01,87,90,5.01,overcast clouds
334,Flinders,AU,-34.5833,150.8552,63.68,68,2,8.5,clear sky
335,Port Hawkesbury,CA,45.6169,-61.3485,69.04,67,20,8.99,few clouds
336,Broome,US,42.2506,-75.833,75.09,57,75,1.99,broken clouds
337,Ugoofaaru,MV,5.6667,73.0,82.09,75,50,11.79,scattered clouds
338,Lososina,RU,48.9975,140.3106,58.41,90,100,9.15,overcast clouds
339,Doha,QA,25.2867,51.5333,94.89,75,0,3.44,clear sky
340,Kamarion,GR,36.8,25.8167,87.22,72,0,13.15,clear sky
341,Samarai,PG,-10.6167,150.6667,78.28,65,89,14.65,overcast clouds
342,Bilibino,RU,68.0546,166.4372,46.47,58,96,3.06,overcast clouds
343,Hambantota,LK,6.1241,81.1185,79.14,94,0,12.66,clear sky
344,Chicama,PE,-7.8447,-79.1469,66.74,68,4,9.22,clear sky
345,Anadyr,RU,64.75,177.4833,46.9,61,40,5.99,scattered clouds
346,Port Elizabeth,ZA,-33.918,25.5701,52.09,71,40,4.61,scattered clouds
347,Muros,ES,42.7762,-9.0603,63.1,71,90,1.21,overcast clouds
348,Kawalu,ID,-7.3817,108.2082,71.08,97,89,1.14,overcast clouds
349,Vanavara,RU,60.34,102.2797,59.76,87,100,3.15,overcast clouds
350,Tondano,ID,1.3038,124.9112,64.49,93,34,1.41,scattered clouds
351,Caraballeda,VE,10.6112,-66.8522,86.07,83,29,11.5,scattered clouds
352,Yulara,AU,-25.2406,130.9889,48.04,81,35,0.0,scattered clouds
353,Mount Vernon,US,40.9126,-73.8371,79.97,43,40,5.99,scattered clouds
354,Isangel,VU,-19.55,169.2667,71.71,64,75,17.27,broken clouds
355,George,ZA,-33.963,22.4617,51.35,82,0,2.3,clear sky
356,Cherskiy,RU,68.75,161.3,41.22,92,100,15.5,light rain
357,Abu Kamal,SY,34.4506,40.9171,93.96,16,0,7.54,clear sky
358,Ardakan,IR,32.31,54.0175,93.58,19,41,1.16,scattered clouds
359,Kununurra,AU,-15.7667,128.7333,66.18,88,5,1.14,clear sky
360,Ibiruba,BR,-28.6275,-53.0897,50.36,70,50,2.51,scattered clouds
361,Port-Gentil,GA,-0.7193,8.7815,76.96,83,90,8.05,overcast clouds
362,Martapura,ID,-3.4167,114.85,73.49,100,40,1.14,scattered clouds
363,Channel-Port Aux Basques,CA,47.5702,-59.1367,59.54,91,26,20.51,scattered clouds
364,Vaitape,PF,-16.5167,-151.75,78.04,63,76,15.86,broken clouds
365,Skibbereen,IE,51.55,-9.2667,60.6,87,55,5.68,broken clouds
366,Sugod,PH,12.987,124.0805,82.78,80,100,14.36,overcast clouds
367,Batemans Bay,AU,-35.7167,150.1833,59.09,69,1,4.63,clear sky
368,Kizema,RU,61.113,44.8302,55.06,97,90,6.62,overcast clouds
369,Conakry,GN,9.538,-13.6773,77.07,94,75,0.0,moderate rain
370,Laguna,US,38.421,-121.4238,103.21,31,1,5.99,clear sky
371,Alofi,NU,-19.0595,-169.9187,73.29,100,96,8.05,moderate rain
372,Asau,RO,46.4333,26.4,77.92,63,25,5.82,scattered clouds
373,Troy,US,42.6056,-83.1499,81.63,54,1,1.99,clear sky
