City_ID,City,Country,Max Temp,Date,Lat,Lng,Hotel Name
483,Muroto,JP,77.92,2021-07-25 15:23:05,33.2833,134.15,Oota Ryokan
484,Mavelikara,IN,77.4,2021-07-25 15:23:05,9.2667,76.55,Hotel Indraprastha
485,Anito,PH,82.44,2021-07-25 15:23:05,12.4497,125.2886,The Yellow House
486,Yatou,CN,76.32,2021-07-25 15:23:06,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
493,Lingao,CN,83.17,2021-07-25 15:23:08,19.9103,109.6859,Lingao Ditai Inn
498,Northam,GB,75.02,2021-07-25 15:23:10,51.0333,-4.2167,Durrant House Hotel
499,Datong,CN,76.32,2021-07-25 15:23:10,40.0936,113.2914,Holiday Inn Datong City Centre
500,Cerknica,SI,85.8,2021-07-25 15:23:10,45.7931,14.3625,Rooms Cerknica
501,Tual,ID,80.11,2021-07-25 15:23:11,-5.6667,132.75,Grand Vilia Hotel
503,Nevinnomyssk,RU,85.21,2021-07-25 15:23:11,44.6267,41.9453,NevHotel
506,Outlook,CA,74.89,2021-07-25 15:23:12,51.5001,-107.0513,Red Wheel Motel
509,Luchow,DE,84.47,2021-07-25 15:23:13,52.9667,11.15,Hotel Am Glockenturm
510,Champerico,GT,89.76,2021-07-25 15:23:13,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
512,Puerto Colombia,CO,80.69,2021-07-25 15:23:14,10.9878,-74.9547,Hotel El Emigrante
514,Falmouth,GB,73.85,2021-07-25 15:23:15,50.1544,-5.0711,The Falmouth Hotel
516,Iracoubo,GF,76.37,2021-07-25 15:20:59,5.4802,-53.2011,Le Gîte d’Iracoubo
519,Takoradi,GH,80.22,2021-07-25 15:23:16,4.8845,-1.7554,Raybow International Hotel
521,Tabou,CI,79.09,2021-07-25 15:19:12,4.423,-7.3528,hotêl doufoulougou
522,Sarny,UA,74.19,2021-07-25 15:23:17,51.338,26.6019,Luxury Square
526,Severnoye,RU,70.81,2021-07-25 15:23:18,56.3491,78.3619,Gostinitsa Severyanka
527,Pascagoula,US,88.56,2021-07-25 15:23:18,30.3658,-88.5561,Regency Inn
529,Isangel,VU,75.15,2021-07-25 15:23:19,-19.55,169.2667,Tanna Lodge
531,Abilene,US,86.49,2021-07-25 15:23:20,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
532,Grand-Lahou,CI,79.65,2021-07-25 15:23:20,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
533,Nanning,CN,77.45,2021-07-25 15:23:20,22.8167,108.3167,Nanning Travelling With Hostel
535,Severnyy,RU,80.64,2021-07-25 15:23:21,50.677,36.5532,Full House North Mini-Hotel
537,Neringa,LT,82.49,2021-07-25 15:20:18,55.3719,21.0647,Preilos Krantas
540,Manggar,ID,82.04,2021-07-25 15:19:53,-2.8833,108.2667,Guest Hotel
542,Simao Dias,BR,82.24,2021-07-25 15:23:23,-10.7383,-37.8111,Pousada Simãodiense
543,Punto Fijo,VE,83.26,2021-07-25 15:23:23,11.6956,-70.1996,Santa Fe Inn Hotel
544,Marsa Matruh,EG,81.03,2021-07-25 15:23:23,31.3525,27.2453,Beau Site
546,Tomatlan,MX,82.49,2021-07-25 15:23:24,19.9333,-105.25,El Salvial
548,Salvador,SV,81.0,2021-07-25 15:19:07,13.8333,-88.9167,Chico's Ranch
552,Idlib,SY,87.19,2021-07-25 15:23:25,35.9306,36.6339,مركز تسيل للتجميل
553,Kontagora,NG,83.68,2021-07-25 15:23:26,10.3999,5.4695,Queens Guest Inn
554,Roald,NO,79.11,2021-07-25 15:23:26,62.5833,6.1333,Flem Cabins
560,Killarney,IE,75.25,2021-07-25 15:23:27,52.05,-9.5167,Cahernane House Hotel - Killarney Hotel
561,Mogadishu,SO,76.5,2021-07-25 15:22:34,2.0371,45.3438,Hotel Juba
567,Ovre Ardal,NO,79.68,2021-07-25 15:23:29,61.3167,7.8,Sitla Motel & Apartment
569,Kargasok,RU,70.38,2021-07-25 15:23:29,59.0556,80.8572,Hotel Kargasok
573,Bereda,ES,76.41,2021-07-25 15:23:31,43.2686,-7.5406,Pazo de Verdes
575,Taiobeiras,BR,75.96,2021-07-25 15:23:31,-15.8078,-42.2331,Dallas Hotel
576,Big Rapids,US,81.84,2021-07-25 15:23:32,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
577,Ishigaki,JP,84.22,2021-07-25 15:23:32,24.3448,124.1572,Hotel Peace Land Ishigakijima
579,Nouakchott,MR,85.93,2021-07-25 15:23:02,18.0858,-15.9785,HOTEL IMAN فندق إيمان
580,Salto,UY,73.56,2021-07-25 15:18:34,-31.3833,-57.9667,Gran Hotel Uruguay
581,Hvide Sande,DK,77.68,2021-07-25 15:23:33,56.0045,8.1294,Hvide Sande Hotel
583,Kamaishi,JP,71.74,2021-07-25 15:23:33,39.2667,141.8833,Hotel Route Inn Kamaishi
584,Daru,PG,77.2,2021-07-25 15:23:34,-9.0763,143.2092,Daru Lodge
588,Yarada,IN,84.52,2021-07-25 15:23:35,17.65,83.2667,Jeevan
590,Waingapu,ID,72.9,2021-07-25 15:23:36,-9.6567,120.2641,Pondok Wisata Elim
591,Natchitoches,US,88.65,2021-07-25 15:23:36,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
